"Already friends";"Already friends"
"An error has occurred.";"An error has occurred."
"Attached Image";"Attached Image"
"Bad Request";"Bad Request"
"cancel";"cancel"
"Client Name";"Client Name"
"Comment added";"Comment added"
"Comment deleted";"Comment deleted"
"Create Client";"Create Client"
"Deleted member";"Deleted member"
"Edit Client";"Edit Client"
"Email existed";"Email existed"
"Forbidden";"Forbidden"
"Friendship request was not sent because you blocked this member.";"Friendship request was not sent because you blocked this member."
"Grant Types";"Grant Types"
"Invalid credentials";"Invalid credentials"
"Invalid data";"Invalid data"
"Invalid parameter";"Invalid parameter"
"Invalid parameter(s)";"Invalid parameter(s)"
"Invalid playlist";"Invalid playlist"
"Invalid URI";"Invalid URI"
"Invalid video type";"Invalid video type"
"Item not found.";"Item not found."
"Like added";"Like added"
"Like removed";"Like removed"
"Member not found";"Member not found"
"Member unblocked";"Member unblocked"
"Missing parameter";"Missing parameter"
"Missing photo or cropping data";"Missing photo or cropping data"
"Network not found";"Network not found"
"No comment or wrong parent";"No comment or wrong parent"
"No file";"No file"
"No member specified";"No member specified"
"No record found with this email";"No record found with this email"
"No record of a member with that email was found.";"No record of a member with that email was found."
Not Found;Not Found
"Old password did not match";"Old password did not match"
"One of the members specified is not in your friends list.";"One of the members specified is not in your friends list."
"Photo saved successfully";"Photo saved successfully"
"Please enter a search query.";"Please enter a search query."
"Please enter a valid email address.";"Please enter a valid email address."
"Please enter a valid profile address.";"Please enter a valid profile address."
"Please enter at least 6 characters and no more than 32 characters long";"Please enter at least 6 characters and no more than 32 characters long"
"Profile addresses must be alphanumeric.";"Profile addresses must be alphanumeric."
"Profile addresses must start with a letter.";"Profile addresses must start with a letter."
"Redirect URI";"Redirect URI"
"Scope";"Scope"
"Settings saved.";"Settings saved."
"Settings were successfully saved.";"Settings were successfully saved."
"Someone has already picked this profile address, please use another one.";"Someone has already picked this profile address, please use another one."
"Someone has already registered this email address, please use another one.";"Someone has already registered this email address, please use another one."
"Someone has already registered this user name, please use another one";"Someone has already registered this user name, please use another one"
"Song was not successfully attached";"Song was not successfully attached"
"Success!";"Success!"
"The action you are looking for does not exist.";"The action you are looking for does not exist."
"The selected messages have been deleted.";"The selected messages have been deleted."
"The uploaded file is not supported or is corrupt.";"The uploaded file is not supported or is corrupt."
"There appears to be a problem logging in. Please reset your password with the Forgot Password link.";"There appears to be a problem logging in. Please reset your password with the Forgot Password link."
"This account is disabled.";"This account is disabled."
"This account still requires admin approval.";"This account still requires admin approval."
"This account still requires either email verification.";"This account still requires either email verification."
"This account still requires subscription.";"This account still requires subscription."
"This activity item does not exist.";"This activity item does not exist."
"This activity item has been removed.";"This activity item has been removed."
"This email address is not available, please use another one.";"This email address is not available, please use another one."
"This person has been removed from your friends.";"This person has been removed from your friends."
"This profile address is not available, please use another one.";"This profile address is not available, please use another one."
"This user account has not yet been verified or disabled by an admin.";"This user account has not yet been verified or disabled by an admin."
"This user name is not available, please use another one";"This user name is not available, please use another one"
"Unauthorized";"Unauthorized"
"User identity is invalid";"User identity is invalid"
"User not found";"User not found"
"Username is must between 4 and 64 characters";"Username is must between 4 and 64 characters"
"Video posted successfully";"Video posted successfully"
"We could not find a video there - please check the URL and try again.";"We could not find a video there - please check the URL and try again."
"You are already friends with this member.";"You are already friends with this member."
"You are not allowed to edit this playlist";"You are not allowed to edit this playlist"
"You are not allowed to upload songs.";"You are not allowed to upload songs."
"You are now following this member.";"You are now following this member."
"You are now friends with %s";"You are now friends with %s"
"You are now friends with this member.";"You are now friends with this member."
"You cannot befriend yourself.";"You cannot befriend yourself."
"You cannot share this item because it has been removed.";"You cannot share this item because it has been removed."
"You have already uploaded the maximum number of videos allowed. If you would like to upload a new video, please delete an old one first.";"You have already uploaded the maximum number of videos allowed. If you would like to upload a new video, please delete an old one first."
"You ignored %s's request to follow you";"You ignored %s's request to follow you"
"You ignored a friend request from %s";"You ignored a friend request from %s"
"Your changes have been saved.";"Your changes have been saved."
"Your friend request has been cancelled.";"Your friend request has been cancelled."
"Your friend request has been sent.";"Your friend request has been sent."
"Your message has been sent successfully.":"Your message has been sent successfully."
