"Video Categories";"Video Categories"
"YNVIDEOCHANNEL_ADMIN_CATEGORY_DESCRIPTION";"This page is where admin creates and organizes categories. Drag and Drop feature allow admin to easily change order of categories."
"Manage Videos";"Manage Videos"
"YNVIDEOCHANNEL_ADMIN_MANAGEVIDEOS_DESCRIPTION";"This page lists all of the videos your users have shared. You can use this page to monitor these videos and delete offensive material if necessary. Entering criteria into the fields will help you find specific videos. Leaving the filter fields blank will show all the videos on your social network."
"Manage Channels";"Manage Channels"
"YNVIDEOCHANNEL_ADMIN_MANAGECHANNELS_DESCRIPTION";"This page lists all of the channels your users have added. You can use this page to monitor these channels and delete offensive material if necessary. Entering criteria into the fields will help you find specific channels. Leaving the filter fields blank will show all the channels on your social network."
"Manage Playlist";"Manage Playlist"
"YNVIDEOCHANNEL_ADMIN_MANAGEPLAYLISTS_DESCRIPTION";"This page lists all of the playlists your users have added. You can use this page to monitor these playlists and delete offensive material if necessary. Entering criteria into the fields will help you find specific playlists. Leaving the filter fields blank will show all the playlists on your social network."
"%s like";"%s like";"%s likes"
"%s comment";"%s comment";"%s comments"
"%s favorite";"%s favorite";"%s favorites"
"%s view";"%s view";"%s views"
""by %s";""by %s"
"%s's other videos";"%s's other videos"
"%s subscriber";"%s subscriber";"%s subscribers"
"%1s by %2s";"%1s by %2s"
